Hours	G	IR0	T_sky_cal	T_amb	v_wind	m_dot	T_in
52.00	200.00	40.00	9.63	0.00	2.00	0.0496	10.00
53.00	200.00	40.00	9.63	0.00	2.00	0.0496	20.00
54.00	200.00	40.00	9.63	0.00	2.00	0.0496	30.00
55.00	200.00	40.00	9.63	0.00	2.00	0.0496	40.00
56.00	0.00	40.00	9.63	0.00	2.00	0.0496	0.00
57.00	0.00	40.00	9.63	0.00	2.00	0.0496	10.00
58.00	0.00	40.00	9.63	0.00	2.00	0.0496	20.00
59.00	0.00	40.00	9.63	0.00	2.00	0.0496	30.00
60.00	0.00	40.00	9.63	0.00	2.00	0.0496	40.00
61.00	1000.00	40.00	9.63	0.00	3.00	0.0496	0.00
62.00	1000.00	40.00	9.63	0.00	3.00	0.0496	10.00
63.00	1000.00	40.00	9.63	0.00	3.00	0.0496	20.00
64.00	1000.00	40.00	9.63	0.00	3.00	0.0496	30.00
65.00	1000.00	40.00	9.63	0.00	3.00	0.0496	40.00
66.00	800.00	40.00	9.63	0.00	3.00	0.0496	0.00
67.00	800.00	40.00	9.63	0.00	3.00	0.0496	10.00
68.00	800.00	40.00	9.63	0.00	3.00	0.0496	20.00
69.00	800.00	40.00	9.63	0.00	3.00	0.0496	30.00
70.00	800.00	40.00	9.63	0.00	3.00	0.0496	40.00
71.00	600.00	40.00	9.63	0.00	3.00	0.0496	0.00
72.00	600.00	40.00	9.63	0.00	3.00	0.0496	10.00
73.00	600.00	40.00	9.63	0.00	3.00	0.0496	20.00
74.00	600.00	40.00	9.63	0.00	3.00	0.0496	30.00
75.00	600.00	40.00	9.63	0.00	3.00	0.0496	40.00
76.00	400.00	40.00	9.63	0.00	3.00	0.0496	0.00
77.00	400.00	40.00	9.63	0.00	3.00	0.0496	10.00
78.00	400.00	40.00	9.63	0.00	3.00	0.0496	20.00
79.00	400.00	40.00	9.63	0.00	3.00	0.0496	30.00
80.00	400.00	40.00	9.63	0.00	3.00	0.0496	40.00
81.00	200.00	40.00	9.63	0.00	3.00	0.0496	0.00
82.00	200.00	40.00	9.63	0.00	3.00	0.0496	10.00
83.00	200.00	40.00	9.63	0.00	3.00	0.0496	20.00
84.00	200.00	40.00	9.63	0.00	3.00	0.0496	30.00
85.00	200.00	40.00	9.63	0.00	3.00	0.0496	40.00
86.00	0.00	40.00	9.63	0.00	3.00	0.0496	0.00
87.00	0.00	40.00	9.63	0.00	3.00	0.0496	10.00
88.00	0.00	40.00	9.63	0.00	3.00	0.0496	20.00
89.00	0.00	40.00	9.63	0.00	3.00	0.0496	30.00
90.00	0.00	40.00	9.63	0.00	3.00	0.0496	40.00
91.00	1000.00	40.00	18.70	10.00	1.00	0.0496	0.00
92.00	1000.00	40.00	18.70	10.00	1.00	0.0496	10.00
93.00	1000.00	40.00	18.70	10.00	1.00	0.0496	20.00
94.00	1000.00	40.00	18.70	10.00	1.00	0.0496	30.00
95.00	1000.00	40.00	18.70	10.00	1.00	0.0496	40.00
96.00	800.00	40.00	18.70	10.00	1.00	0.0496	0.00
97.00	800.00	40.00	18.70	10.00	1.00	0.0496	10.00
98.00	800.00	40.00	18.70	10.00	1.00	0.0496	20.00
99.00	800.00	40.00	18.70	10.00	1.00	0.0496	30.00
100.00	800.00	40.00	18.70	10.00	1.00	0.0496	40.00
101.00	600.00	40.00	18.70	10.00	1.00	0.0496	0.00
102.00	600.00	40.00	18.70	10.00	1.00	0.0496	10.00
103.00	600.00	40.00	18.70	10.00	1.00	0.0496	20.00
104.00	600.00	40.00	18.70	10.00	1.00	0.0496	30.00
105.00	600.00	40.00	18.70	10.00	1.00	0.0496	40.00
106.00	400.00	40.00	18.70	10.00	1.00	0.0496	0.00
107.00	400.00	40.00	18.70	10.00	1.00	0.0496	10.00
108.00	400.00	40.00	18.70	10.00	1.00	0.0496	20.00
109.00	400.00	40.00	18.70	10.00	1.00	0.0496	30.00
110.00	400.00	40.00	18.70	10.00	1.00	0.0496	40.00
111.00	200.00	40.00	18.70	10.00	1.00	0.0496	0.00
112.00	200.00	40.00	18.70	10.00	1.00	0.0496	10.00
113.00	200.00	40.00	18.70	10.00	1.00	0.0496	20.00
114.00	200.00	40.00	18.70	10.00	1.00	0.0496	30.00
115.00	200.00	40.00	18.70	10.00	1.00	0.0496	40.00
116.00	0.00	40.00	18.70	10.00	1.00	0.0496	0.00
117.00	0.00	40.00	18.70	10.00	1.00	0.0496	10.00
118.00	0.00	40.00	18.70	10.00	1.00	0.0496	20.00
119.00	0.00	40.00	18.70	10.00	1.00	0.0496	30.00
120.00	0.00	40.00	18.70	10.00	1.00	0.0496	40.00
121.00	1000.00	40.00	18.70	10.00	2.00	0.0496	0.00
122.00	1000.00	40.00	18.70	10.00	2.00	0.0496	10.00
123.00	1000.00	40.00	18.70	10.00	2.00	0.0496	20.00
124.00	1000.00	40.00	18.70	10.00	2.00	0.0496	30.00
125.00	1000.00	40.00	18.70	10.00	2.00	0.0496	40.00
126.00	800.00	40.00	18.70	10.00	2.00	0.0496	0.00
127.00	800.00	40.00	18.70	10.00	2.00	0.0496	10.00
128.00	800.00	40.00	18.70	10.00	2.00	0.0496	20.00
129.00	800.00	40.00	18.70	10.00	2.00	0.0496	30.00
130.00	800.00	40.00	18.70	10.00	2.00	0.0496	40.00
131.00	600.00	40.00	18.70	10.00	2.00	0.0496	0.00
132.00	600.00	40.00	18.70	10.00	2.00	0.0496	10.00
133.00	600.00	40.00	18.70	10.00	2.00	0.0496	20.00
134.00	600.00	40.00	18.70	10.00	2.00	0.0496	30.00
135.00	600.00	40.00	18.70	10.00	2.00	0.0496	40.00
136.00	400.00	40.00	18.70	10.00	2.00	0.0496	0.00
137.00	400.00	40.00	18.70	10.00	2.00	0.0496	10.00
138.00	400.00	40.00	18.70	10.00	2.00	0.0496	20.00
139.00	400.00	40.00	18.70	10.00	2.00	0.0496	30.00
140.00	400.00	40.00	18.70	10.00	2.00	0.0496	40.00
141.00	200.00	40.00	18.70	10.00	2.00	0.0496	0.00
142.00	200.00	40.00	18.70	10.00	2.00	0.0496	10.00
143.00	200.00	40.00	18.70	10.00	2.00	0.0496	20.00
144.00	200.00	40.00	18.70	10.00	2.00	0.0496	30.00
145.00	200.00	40.00	18.70	10.00	2.00	0.0496	40.00
146.00	0.00	40.00	18.70	10.00	2.00	0.0496	0.00
147.00	0.00	40.00	18.70	10.00	2.00	0.0496	10.00
148.00	0.00	40.00	18.70	10.00	2.00	0.0496	20.00
149.00	0.00	40.00	18.70	10.00	2.00	0.0496	30.00
150.00	0.00	40.00	18.70	10.00	2.00	0.0496	40.00
151.00	1000.00	40.00	18.70	10.00	3.00	0.0496	0.00
152.00	1000.00	40.00	18.70	10.00	3.00	0.0496	10.00
153.00	1000.00	40.00	18.70	10.00	3.00	0.0496	20.00
154.00	1000.00	40.00	18.70	10.00	3.00	0.0496	30.00
155.00	1000.00	40.00	18.70	10.00	3.00	0.0496	40.00
156.00	800.00	40.00	18.70	10.00	3.00	0.0496	0.00
157.00	800.00	40.00	18.70	10.00	3.00	0.0496	10.00
158.00	800.00	40.00	18.70	10.00	3.00	0.0496	20.00
159.00	800.00	40.00	18.70	10.00	3.00	0.0496	30.00
160.00	800.00	40.00	18.70	10.00	3.00	0.0496	40.00
161.00	600.00	40.00	18.70	10.00	3.00	0.0496	0.00
162.00	600.00	40.00	18.70	10.00	3.00	0.0496	10.00
163.00	600.00	40.00	18.70	10.00	3.00	0.0496	20.00
164.00	600.00	40.00	18.70	10.00	3.00	0.0496	30.00
165.00	600.00	40.00	18.70	10.00	3.00	0.0496	40.00
166.00	400.00	40.00	18.70	10.00	3.00	0.0496	0.00
167.00	400.00	40.00	18.70	10.00	3.00	0.0496	10.00
168.00	400.00	40.00	18.70	10.00	3.00	0.0496	20.00
169.00	400.00	40.00	18.70	10.00	3.00	0.0496	30.00
170.00	400.00	40.00	18.70	10.00	3.00	0.0496	40.00
171.00	200.00	40.00	18.70	10.00	3.00	0.0496	0.00
172.00	200.00	40.00	18.70	10.00	3.00	0.0496	10.00
173.00	200.00	40.00	18.70	10.00	3.00	0.0496	20.00
174.00	200.00	40.00	18.70	10.00	3.00	0.0496	30.00
175.00	200.00	40.00	18.70	10.00	3.00	0.0496	40.00
176.00	0.00	40.00	18.70	10.00	3.00	0.0496	0.00
177.00	0.00	40.00	18.70	10.00	3.00	0.0496	10.00
178.00	0.00	40.00	18.70	10.00	3.00	0.0496	20.00
179.00	0.00	40.00	18.70	10.00	3.00	0.0496	30.00
180.00	0.00	40.00	18.70	10.00	3.00	0.0496	40.00
181.00	1000.00	40.00	27.89	20.00	1.00	0.0496	0.00
182.00	1000.00	40.00	27.89	20.00	1.00	0.0496	10.00
183.00	1000.00	40.00	27.89	20.00	1.00	0.0496	20.00
184.00	1000.00	40.00	27.89	20.00	1.00	0.0496	30.00
185.00	1000.00	40.00	27.89	20.00	1.00	0.0496	40.00
186.00	800.00	40.00	27.89	20.00	1.00	0.0496	0.00
187.00	800.00	40.00	27.89	20.00	1.00	0.0496	10.00
188.00	800.00	40.00	27.89	20.00	1.00	0.0496	20.00
189.00	800.00	40.00	27.89	20.00	1.00	0.0496	30.00
190.00	800.00	40.00	27.89	20.00	1.00	0.0496	40.00
191.00	600.00	40.00	27.89	20.00	1.00	0.0496	0.00
192.00	600.00	40.00	27.89	20.00	1.00	0.0496	10.00
193.00	600.00	40.00	27.89	20.00	1.00	0.0496	20.00
194.00	600.00	40.00	27.89	20.00	1.00	0.0496	30.00
195.00	600.00	40.00	27.89	20.00	1.00	0.0496	40.00
196.00	400.00	40.00	27.89	20.00	1.00	0.0496	0.00
197.00	400.00	40.00	27.89	20.00	1.00	0.0496	10.00
198.00	400.00	40.00	27.89	20.00	1.00	0.0496	20.00
199.00	400.00	40.00	27.89	20.00	1.00	0.0496	30.00
200.00	400.00	40.00	27.89	20.00	1.00	0.0496	40.00
201.00	200.00	40.00	27.89	20.00	1.00	0.0496	0.00
202.00	200.00	40.00	27.89	20.00	1.00	0.0496	10.00
203.00	200.00	40.00	27.89	20.00	1.00	0.0496	20.00
204.00	200.00	40.00	27.89	20.00	1.00	0.0496	30.00
205.00	200.00	40.00	27.89	20.00	1.00	0.0496	40.00
206.00	0.00	40.00	27.89	20.00	1.00	0.0496	0.00
207.00	0.00	40.00	27.89	20.00	1.00	0.0496	10.00
208.00	0.00	40.00	27.89	20.00	1.00	0.0496	20.00
209.00	0.00	40.00	27.89	20.00	1.00	0.0496	30.00
210.00	0.00	40.00	27.89	20.00	1.00	0.0496	40.00
211.00	1000.00	40.00	27.89	20.00	2.00	0.0496	0.00
212.00	1000.00	40.00	27.89	20.00	2.00	0.0496	10.00
213.00	1000.00	40.00	27.89	20.00	2.00	0.0496	20.00
214.00	1000.00	40.00	27.89	20.00	2.00	0.0496	30.00
215.00	1000.00	40.00	27.89	20.00	2.00	0.0496	40.00
216.00	800.00	40.00	27.89	20.00	2.00	0.0496	0.00
217.00	800.00	40.00	27.89	20.00	2.00	0.0496	10.00
218.00	800.00	40.00	27.89	20.00	2.00	0.0496	20.00
219.00	800.00	40.00	27.89	20.00	2.00	0.0496	30.00
220.00	800.00	40.00	27.89	20.00	2.00	0.0496	40.00
221.00	600.00	40.00	27.89	20.00	2.00	0.0496	0.00
222.00	600.00	40.00	27.89	20.00	2.00	0.0496	10.00
223.00	600.00	40.00	27.89	20.00	2.00	0.0496	20.00
224.00	600.00	40.00	27.89	20.00	2.00	0.0496	30.00
225.00	600.00	40.00	27.89	20.00	2.00	0.0496	40.00
226.00	400.00	40.00	27.89	20.00	2.00	0.0496	0.00
227.00	400.00	40.00	27.89	20.00	2.00	0.0496	10.00
228.00	400.00	40.00	27.89	20.00	2.00	0.0496	20.00
229.00	400.00	40.00	27.89	20.00	2.00	0.0496	30.00
230.00	400.00	40.00	27.89	20.00	2.00	0.0496	40.00
231.00	200.00	40.00	27.89	20.00	2.00	0.0496	0.00
232.00	200.00	40.00	27.89	20.00	2.00	0.0496	10.00
233.00	200.00	40.00	27.89	20.00	2.00	0.0496	20.00
234.00	200.00	40.00	27.89	20.00	2.00	0.0496	30.00
235.00	200.00	40.00	27.89	20.00	2.00	0.0496	40.00
236.00	0.00	40.00	27.89	20.00	2.00	0.0496	0.00
237.00	0.00	40.00	27.89	20.00	2.00	0.0496	10.00
238.00	0.00	40.00	27.89	20.00	2.00	0.0496	20.00
239.00	0.00	40.00	27.89	20.00	2.00	0.0496	30.00
240.00	0.00	40.00	27.89	20.00	2.00	0.0496	40.00
241.00	1000.00	40.00	27.89	20.00	3.00	0.0496	0.00
242.00	1000.00	40.00	27.89	20.00	3.00	0.0496	10.00
243.00	1000.00	40.00	27.89	20.00	3.00	0.0496	20.00
244.00	1000.00	40.00	27.89	20.00	3.00	0.0496	30.00
245.00	1000.00	40.00	27.89	20.00	3.00	0.0496	40.00
246.00	800.00	40.00	27.89	20.00	3.00	0.0496	0.00
247.00	800.00	40.00	27.89	20.00	3.00	0.0496	10.00
248.00	800.00	40.00	27.89	20.00	3.00	0.0496	20.00
249.00	800.00	40.00	27.89	20.00	3.00	0.0496	30.00
250.00	800.00	40.00	27.89	20.00	3.00	0.0496	40.00
251.00	600.00	40.00	27.89	20.00	3.00	0.0496	0.00
252.00	600.00	40.00	27.89	20.00	3.00	0.0496	10.00
253.00	600.00	40.00	27.89	20.00	3.00	0.0496	20.00
254.00	600.00	40.00	27.89	20.00	3.00	0.0496	30.00
255.00	600.00	40.00	27.89	20.00	3.00	0.0496	40.00
256.00	400.00	40.00	27.89	20.00	3.00	0.0496	0.00
257.00	400.00	40.00	27.89	20.00	3.00	0.0496	10.00
258.00	400.00	40.00	27.89	20.00	3.00	0.0496	20.00
259.00	400.00	40.00	27.89	20.00	3.00	0.0496	30.00
260.00	400.00	40.00	27.89	20.00	3.00	0.0496	40.00
261.00	200.00	40.00	27.89	20.00	3.00	0.0496	0.00
262.00	200.00	40.00	27.89	20.00	3.00	0.0496	10.00
263.00	200.00	40.00	27.89	20.00	3.00	0.0496	20.00
264.00	200.00	40.00	27.89	20.00	3.00	0.0496	30.00
265.00	200.00	40.00	27.89	20.00	3.00	0.0496	40.00
266.00	0.00	40.00	27.89	20.00	3.00	0.0496	0.00
267.00	0.00	40.00	27.89	20.00	3.00	0.0496	10.00
268.00	0.00	40.00	27.89	20.00	3.00	0.0496	20.00
269.00	0.00	40.00	27.89	20.00	3.00	0.0496	30.00
270.00	0.00	40.00	27.89	20.00	3.00	0.0496	40.00
271.00	1000.00	40.00	37.17	30.00	1.00	0.0496	0.00
272.00	1000.00	40.00	37.17	30.00	1.00	0.0496	10.00
273.00	1000.00	40.00	37.17	30.00	1.00	0.0496	20.00
274.00	1000.00	40.00	37.17	30.00	1.00	0.0496	30.00
275.00	1000.00	40.00	37.17	30.00	1.00	0.0496	40.00
276.00	800.00	40.00	37.17	30.00	1.00	0.0496	0.00
277.00	800.00	40.00	37.17	30.00	1.00	0.0496	10.00
278.00	800.00	40.00	37.17	30.00	1.00	0.0496	20.00
279.00	800.00	40.00	37.17	30.00	1.00	0.0496	30.00
280.00	800.00	40.00	37.17	30.00	1.00	0.0496	40.00
281.00	600.00	40.00	37.17	30.00	1.00	0.0496	0.00
282.00	600.00	40.00	37.17	30.00	1.00	0.0496	10.00
283.00	600.00	40.00	37.17	30.00	1.00	0.0496	20.00
284.00	600.00	40.00	37.17	30.00	1.00	0.0496	30.00
285.00	600.00	40.00	37.17	30.00	1.00	0.0496	40.00
286.00	400.00	40.00	37.17	30.00	1.00	0.0496	0.00
287.00	400.00	40.00	37.17	30.00	1.00	0.0496	10.00
288.00	400.00	40.00	37.17	30.00	1.00	0.0496	20.00
289.00	400.00	40.00	37.17	30.00	1.00	0.0496	30.00
290.00	400.00	40.00	37.17	30.00	1.00	0.0496	40.00
291.00	200.00	40.00	37.17	30.00	1.00	0.0496	0.00
292.00	200.00	40.00	37.17	30.00	1.00	0.0496	10.00
293.00	200.00	40.00	37.17	30.00	1.00	0.0496	20.00
294.00	200.00	40.00	37.17	30.00	1.00	0.0496	30.00
295.00	200.00	40.00	37.17	30.00	1.00	0.0496	40.00
296.00	0.00	40.00	37.17	30.00	1.00	0.0496	0.00
297.00	0.00	40.00	37.17	30.00	1.00	0.0496	10.00
298.00	0.00	40.00	37.17	30.00	1.00	0.0496	20.00
299.00	0.00	40.00	37.17	30.00	1.00	0.0496	30.00
300.00	0.00	40.00	37.17	30.00	1.00	0.0496	40.00
301.00	1000.00	40.00	37.17	30.00	2.00	0.0496	0.00
302.00	1000.00	40.00	37.17	30.00	2.00	0.0496	10.00
303.00	1000.00	40.00	37.17	30.00	2.00	0.0496	20.00
304.00	1000.00	40.00	37.17	30.00	2.00	0.0496	30.00
305.00	1000.00	40.00	37.17	30.00	2.00	0.0496	40.00
306.00	800.00	40.00	37.17	30.00	2.00	0.0496	0.00
307.00	800.00	40.00	37.17	30.00	2.00	0.0496	10.00
308.00	800.00	40.00	37.17	30.00	2.00	0.0496	20.00
309.00	800.00	40.00	37.17	30.00	2.00	0.0496	30.00
310.00	800.00	40.00	37.17	30.00	2.00	0.0496	40.00
311.00	600.00	40.00	37.17	30.00	2.00	0.0496	0.00
312.00	600.00	40.00	37.17	30.00	2.00	0.0496	10.00
313.00	600.00	40.00	37.17	30.00	2.00	0.0496	20.00
314.00	600.00	40.00	37.17	30.00	2.00	0.0496	30.00
315.00	600.00	40.00	37.17	30.00	2.00	0.0496	40.00
316.00	400.00	40.00	37.17	30.00	2.00	0.0496	0.00
317.00	400.00	40.00	37.17	30.00	2.00	0.0496	10.00
318.00	400.00	40.00	37.17	30.00	2.00	0.0496	20.00
319.00	400.00	40.00	37.17	30.00	2.00	0.0496	30.00
320.00	400.00	40.00	37.17	30.00	2.00	0.0496	40.00
321.00	200.00	40.00	37.17	30.00	2.00	0.0496	0.00
322.00	200.00	40.00	37.17	30.00	2.00	0.0496	10.00
323.00	200.00	40.00	37.17	30.00	2.00	0.0496	20.00
324.00	200.00	40.00	37.17	30.00	2.00	0.0496	30.00
325.00	200.00	40.00	37.17	30.00	2.00	0.0496	40.00
326.00	0.00	40.00	37.17	30.00	2.00	0.0496	0.00
327.00	0.00	40.00	37.17	30.00	2.00	0.0496	10.00
328.00	0.00	40.00	37.17	30.00	2.00	0.0496	20.00
329.00	0.00	40.00	37.17	30.00	2.00	0.0496	30.00
330.00	0.00	40.00	37.17	30.00	2.00	0.0496	40.00
331.00	1000.00	40.00	37.17	30.00	3.00	0.0496	0.00
332.00	1000.00	40.00	37.17	30.00	3.00	0.0496	10.00
333.00	1000.00	40.00	37.17	30.00	3.00	0.0496	20.00
334.00	1000.00	40.00	37.17	30.00	3.00	0.0496	30.00
335.00	1000.00	40.00	37.17	30.00	3.00	0.0496	40.00
336.00	800.00	40.00	37.17	30.00	3.00	0.0496	0.00
337.00	800.00	40.00	37.17	30.00	3.00	0.0496	10.00
338.00	800.00	40.00	37.17	30.00	3.00	0.0496	20.00
339.00	800.00	40.00	37.17	30.00	3.00	0.0496	30.00
340.00	800.00	40.00	37.17	30.00	3.00	0.0496	40.00
341.00	600.00	40.00	37.17	30.00	3.00	0.0496	0.00
342.00	600.00	40.00	37.17	30.00	3.00	0.0496	10.00
343.00	600.00	40.00	37.17	30.00	3.00	0.0496	20.00
344.00	600.00	40.00	37.17	30.00	3.00	0.0496	30.00
345.00	600.00	40.00	37.17	30.00	3.00	0.0496	40.00
346.00	400.00	40.00	37.17	30.00	3.00	0.0496	0.00
347.00	400.00	40.00	37.17	30.00	3.00	0.0496	10.00
348.00	400.00	40.00	37.17	30.00	3.00	0.0496	20.00
349.00	400.00	40.00	37.17	30.00	3.00	0.0496	30.00
350.00	400.00	40.00	37.17	30.00	3.00	0.0496	40.00
351.00	200.00	40.00	37.17	30.00	3.00	0.0496	0.00
352.00	200.00	40.00	37.17	30.00	3.00	0.0496	10.00
353.00	200.00	40.00	37.17	30.00	3.00	0.0496	20.00
354.00	200.00	40.00	37.17	30.00	3.00	0.0496	30.00
355.00	200.00	40.00	37.17	30.00	3.00	0.0496	40.00
356.00	0.00	40.00	37.17	30.00	3.00	0.0496	0.00
357.00	0.00	40.00	37.17	30.00	3.00	0.0496	10.00
358.00	0.00	40.00	37.17	30.00	3.00	0.0496	20.00
359.00	0.00	40.00	37.17	30.00	3.00	0.0496	30.00
360.00	0.00	40.00	37.17	30.00	3.00	0.0496	40.00
361.00	1000.00	40.00	32.52	25.00	1.00	0.0496	0.00
362.00	1000.00	40.00	32.52	25.00	1.00	0.0496	10.00
363.00	1000.00	40.00	32.52	25.00	1.00	0.0496	20.00
364.00	1000.00	40.00	32.52	25.00	1.00	0.0496	30.00
365.00	1000.00	40.00	32.52	25.00	1.00	0.0496	40.00


							
							
							
							
							
							
							
							
							
							
